kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 215 : 8388608 73358080 0 0 0 0 0 0 0 
_2.ptx 216 : 8388608 96278528 0 0 0 0 0 0 0 
_2.ptx 217 : 8388608 101814112 0 0 0 0 0 0 0 
_2.ptx 218 : 8388608 96573888 0 0 0 0 0 0 0 
_2.ptx 219 : 8388608 101302688 0 0 0 0 0 0 0 
_2.ptx 220 : 8388608 53531776 0 524288 262144 0 0 0 0 
_2.ptx 222 : 8388608 61523392 0 0 0 0 0 0 0 
_2.ptx 224 : 8388608 65543360 0 0 0 0 0 0 0 
_2.ptx 225 : 8388608 71943200 0 0 0 0 0 0 0 
_2.ptx 226 : 8388608 74924896 0 0 0 0 0 0 0 
_2.ptx 227 : 8388608 66304448 0 0 0 0 0 0 0 
_2.ptx 228 : 8388608 76995424 0 0 0 0 0 0 0 
_2.ptx 229 : 8388608 0 0 0 0 0 0 0 0 
_2.ptx 232 : 134217728 1093798656 0 0 0 0 0 0 0 
_2.ptx 233 : 134217728 1112387232 0 0 0 0 0 0 0 
_2.ptx 234 : 134217728 1209807456 0 0 0 0 0 0 0 
_2.ptx 235 : 134217728 1097084384 0 0 0 0 0 0 0 
_2.ptx 236 : 134217728 1175464992 0 0 0 0 0 0 0 
_2.ptx 237 : 134217728 1535677504 0 0 0 0 0 0 0 
_2.ptx 238 : 134217728 1634521536 0 0 0 0 0 0 0 
_2.ptx 239 : 134217728 1531160448 0 0 0 0 0 0 0 
_2.ptx 240 : 134217728 1640453248 0 0 0 0 0 0 0 
_2.ptx 241 : 134217728 1292655808 0 8388608 4194304 0 0 0 0 
_2.ptx 242 : 134217728 1071710048 0 0 0 0 0 0 0 
_2.ptx 243 : 134217728 1192628896 0 0 0 0 0 0 0 
_2.ptx 244 : 134217728 1204836928 0 0 0 0 0 0 0 
_2.ptx 245 : 134217728 1094599744 0 0 0 0 0 0 0 
_2.ptx 246 : 134217728 1177094208 0 0 0 0 0 0 0 
_2.ptx 247 : 134217728 1541332672 0 0 0 0 0 0 0 
_2.ptx 248 : 134217728 1636056416 0 0 0 0 0 0 0 
_2.ptx 249 : 134217728 1536273792 0 0 0 0 0 0 0 
_2.ptx 250 : 134217728 1639799616 0 0 0 0 0 0 0 
_2.ptx 251 : 134217728 1296821760 0 8388608 4194304 0 0 0 0 
_2.ptx 252 : 134217728 1080122496 0 0 0 0 0 0 0 
_2.ptx 253 : 134217728 1103142048 0 0 0 0 0 0 0 
_2.ptx 254 : 134217728 1185437920 0 0 0 0 0 0 0 
_2.ptx 255 : 134217728 1198446784 0 0 0 0 0 0 0 
_2.ptx 256 : 134217728 1179687648 0 0 0 0 0 0 0 
_2.ptx 257 : 134217728 1549741472 0 0 0 0 0 0 0 
_2.ptx 258 : 134217728 1640407264 0 0 0 0 0 0 0 
_2.ptx 259 : 134217728 1536580160 0 0 0 0 0 0 0 
_2.ptx 260 : 134217728 1644352352 0 0 0 0 0 0 0 
_2.ptx 261 : 134217728 1169318784 0 4194304 4194304 0 0 0 0 
_2.ptx 262 : 134217728 1881808576 0 0 0 0 0 0 0 
_2.ptx 263 : 134217728 1035815808 0 0 0 0 0 0 0 
_2.ptx 264 : 134217728 1110266688 0 0 0 0 0 0 0 
_2.ptx 265 : 134217728 1211224864 0 0 0 0 0 0 0 
_2.ptx 266 : 134217728 1095312320 0 0 0 0 0 0 0 
_2.ptx 267 : 134217728 1197858464 0 0 0 0 0 0 0 
_2.ptx 268 : 134217728 1526031392 0 0 0 0 0 0 0 
_2.ptx 269 : 134217728 1643536544 0 0 0 0 0 0 0 
_2.ptx 270 : 134217728 1529411232 0 0 0 0 0 0 0 
_2.ptx 271 : 134217728 1645426912 0 0 0 0 0 0 0 
_2.ptx 272 : 134217728 861577984 0 8388608 4194304 0 0 0 0 
_2.ptx 274 : 134217728 1163697632 0 0 0 0 0 0 0 
_2.ptx 275 : 134217728 1558893728 0 0 0 0 0 0 0 
_2.ptx 276 : 134217728 1205047616 0 0 0 0 0 0 0 
_2.ptx 277 : 134217728 1218842688 0 0 0 0 0 0 0 
_2.ptx 278 : 134217728 1107913568 0 0 0 0 0 0 0 
_2.ptx 279 : 134217728 1255040992 0 0 0 0 0 0 0 
_2.ptx 280 : 134217728 1018730944 0 0 0 0 0 0 0 
_2.ptx 283 : 8388608 65732512 0 0 0 0 0 0 0 
_2.ptx 285 : 8388608 72094592 0 0 0 0 0 0 0 
_2.ptx 286 : 8388608 96229984 0 0 0 0 0 0 0 
_2.ptx 287 : 8388608 77974464 0 0 0 0 0 0 0 
_2.ptx 290 : 24641536 213172512 0 0 0 0 0 0 0 
_2.ptx 291 : 24641536 283270368 0 0 0 0 0 0 0 
_2.ptx 292 : 24641536 218008576 0 0 0 0 0 0 0 
_2.ptx 293 : 24641536 212405344 0 0 0 0 0 0 0 
_2.ptx 294 : 24641536 213823040 0 0 0 0 0 0 0 
_2.ptx 295 : 24641536 223575776 0 0 0 0 0 0 0 
_2.ptx 296 : 24641536 191419968 0 0 0 0 0 0 0 
_2.ptx 299 : 262144 2114304 0 0 0 0 0 0 0 
_2.ptx 300 : 262144 2042720 0 0 0 0 0 0 0 
_2.ptx 301 : 262144 2227232 0 0 0 0 0 0 0 
_2.ptx 302 : 262144 2061088 0 0 0 0 0 0 0 
_2.ptx 303 : 262144 2227744 0 0 0 0 0 0 0 
_2.ptx 304 : 262144 3010112 0 0 0 0 0 0 0 
_2.ptx 305 : 262144 3143008 0 0 0 0 0 0 0 
_2.ptx 306 : 262144 3020224 0 0 0 0 0 0 0 
_2.ptx 307 : 262144 3157696 0 0 0 0 0 0 0 
_2.ptx 308 : 262144 2681792 0 16384 8192 0 0 0 0 
_2.ptx 309 : 262144 1054048 0 0 0 0 0 0 0 
_2.ptx 310 : 262144 1987872 0 0 0 0 0 0 0 
_2.ptx 311 : 262144 2225056 0 0 0 0 0 0 0 
_2.ptx 312 : 262144 3113248 0 0 0 0 0 0 0 
_2.ptx 313 : 262144 867552 0 0 0 0 0 0 0 
_2.ptx 314 : 262144 2292608 0 0 0 0 0 0 0 
_2.ptx 315 : 262144 2113536 0 0 0 0 0 0 0 
_2.ptx 316 : 262144 3136064 0 0 0 0 0 0 0 
_2.ptx 317 : 262144 3206368 0 0 0 0 0 0 0 
_2.ptx 318 : 262144 3159520 0 0 0 0 0 0 0 
_2.ptx 319 : 262144 2287520 0 0 0 0 0 0 0 
_2.ptx 320 : 262144 2981536 0 0 0 0 0 0 0 
_2.ptx 321 : 262144 3138400 0 0 0 0 0 0 0 
_2.ptx 322 : 262144 1740864 593536 0 0 16384 8192 0 0 
_2.ptx 324 : 262144 1987584 0 0 0 0 0 0 0 
